Flow_ID,Src_IP,Src_Port,Dst_IP,Dst_Port,Protocol,Timestamp,Flow_Duration,Tot_Fwd_Pkts,Tot_Bwd_Pkts,TotLen_Fwd_Pkts,TotLen_Bwd_Pkts,Fwd_Pkt_Len_Max,Fwd_Pkt_Len_Min,Fwd_Pkt_Len_Mean,Fwd_Pkt_Len_Std,Bwd_Pkt_Len_Max,Bwd_Pkt_Len_Min,Bwd_Pkt_Len_Mean,Bwd_Pkt_Len_Std,Flow_Byts/s,Flow_Pkts/s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Tot,Fwd_IAT_Mean,Bwd_IAT_Mean,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Tot,Bwd_IAT_Mean.1,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Len,Bwd_Header_Len,Fwd_Pkts/s,Bwd_Pkts/s,Pkt_Len_Min,Pkt_Len_Max,Pkt_Len_Mean,Pkt_Len_Std,Pkt_Len_Var,FIN_Flag_Cnt,SYN_Flag_Cnt,RST_Flag_Cnt,PSH_Flag_Cnt,ACK_Flag_Cnt,URG_Flag_Cnt,CWE_Flag_Count,ECE_Flag_Cnt,Down/Up_Ratio,Pkt_Size_Avg,Fwd_Seg_Size_Avg,Bwd_Seg_Size_Avg,Fwd_Byts/b_Avg,Fwd_Pkts/b_Avg,Fwd_Blk_Rate_Avg,Bwd_Byts/b_Avg,Bwd_Pkts/b_Avg,Bwd_Blk_Rate_Avg,Subflow_Fwd_Pkts,Subflow_Fwd_Byts,Subflow_Bwd_Pkts,Subflow_Bwd_Byts,Init_Fwd_Win_Byts,Init_Bwd_Win_Byts,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label,Sub_Cat
192.168.1.197-185.244.25.108-38030-4441-6,192.168.1.197,38030,185.244.25.108,4441,6,8/03/2019 8:45,73,8,4,8,8,2,0,1,1.069044968,2,2,2,0,0.26620935,0.199657013,5463915.727,18107669.49,60060587,5,60103073,8586153.286,22698094.24,60060587,5,60075588,20025196,34684646.51,60075576,6,1,0,0,0,256,128,0.133104675,0.066552338,0,2,1.384615385,0.960768923,0.923076923,0,0,0,8,12,0,0,0,0,1.5,1,2,0,0,0,0,4,381,0,0,0,0,229,114,3,32,0,0,0,0,1.55E+15,31662348.74,1.55E+15,1.55E+15,Anomaly,Mirai
192.168.1.197-185.244.25.108-38030-4441-6,192.168.1.197,38030,185.244.25.108,4441,6,8/03/2019 8:47,338,8,4,8,8,2,0,1,1.069044968,2,2,2,0,0.266332251,0.199749188,5461394.364,18103117.74,60044345,2,60075338,8582191.143,22692678.01,60044345,2,60059594,20019864.67,34675414.97,60059585,3,1,0,0,0,256,128,0.133166126,0.066583063,0,2,1.384615385,0.960768923,0.923076923,0,0,0,8,12,0,0,0,0,1.5,1,2,0,0,0,0,4,524,0,0,0,0,229,114,3,32,0,0,0,0,1.55E+15,31652629.13,1.55E+15,1.55E+15,Anomaly,Mirai
192.168.1.197-185.244.25.108-38030-4441-6,192.168.1.197,38030,185.244.25.108,4441,6,8/03/2019 8:49,749,8,4,8,8,2,0,1,1.069044968,2,2,2,0,0.266290536,0.199717902,5462249.909,18106293.16,60054775,5,60084749,8583535.571,22696684.3,60054775,6,60069761,20023253.67,34681283.16,60069750,5,1,0,0,0,256,128,0.133145268,0.066572634,0,2,1.384615385,0.960768923,0.923076923,0,0,0,8,12,0,0,0,0,1.5,1,2,0,0,0,0,4,542,0,0,0,0,229,114,3,32,0,0,0,0,1.55E+15,31657961.6,1.55E+15,1.55E+15,Anomaly,Mirai
192.168.1.197-185.244.25.108-38030-4441-6,192.168.1.197,38030,185.244.25.108,4441,6,8/03/2019 8:51,673,8,4,8,8,2,0,1,1.069044968,2,2,2,0,0.266268715,0.199701536,5462697.545,18107776.8,60059696,5,60089673,8584239,22698544.07,60059696,5,60074698,20024899.33,34684133.54,60074687,5,1,0,0,0,256,128,0.133134357,0.066567179,0,2,1.384615385,0.960768923,0.923076923,0,0,0,8,12,0,0,0,0,1.5,1,2,0,0,0,0,4,542,0,0,0,0,229,114,3,32,0,0,0,0,1.55E+15,31660560.19,1.55E+15,1.55E+15,Anomaly,Mirai
192.168.1.197-185.244.25.108-38030-4441-6,192.168.1.197,38030,185.244.25.108,4441,6,8/03/2019 8:53,338,8,4,8,8,2,0,1,1.069044968,2,2,2,0,0.266225894,0.199669421,5463576.182,18107537.64,60059851,3,60099338,8585619.714,22698004.56,60059851,5,60074846,20024948.67,34684220.72,60074837,3,1,0,0,0,256,128,0.133112947,0.066556474,0,2,1.384615385,0.960768923,0.923076923,0,0,0,8,12,0,0,0,0,1.5,1,2,0,0,0,0,4,410,0,0,0,0,229,114,3,32,0,0,0,0,1.55E+15,31661643.52,1.55E+15,1.55E+15,Anomaly,Mirai
192.168.1.197-185.244.25.108-38030-4441-6,192.168.1.197,38030,185.244.25.108,4441,6,8/03/2019 8:55,496,4,2,4,4,2,0,1,1.154700538,2,2,2,0,516.2622612,387.1966959,3099.2,6790.403611,15245,5,15496,5165.333333,8937.093506,15485,5,9,9,0,9,9,1,0,0,0,128,64,258.1311306,129.0655653,0,2,1.428571429,0.975900073,0.952380952,0,0,0,4,6,0,0,0,0,1.666666667,1,2,0,0,0,0,4,524,0,0,0,0,229,114,1,32,0,0,0,0,1.55E+15,7658.898386,1.55E+15,1.55E+15,Anomaly,Mirai
192.168.1.197-185.244.25.108-38030-4441-6,192.168.1.197,38030,185.244.25.108,4441,6,8/03/2019 8:56,15,8,4,8,8,2,0,1,1.069044968,2,2,2,0,0.266262768,0.199697076,5462819.545,18107849.51,60060037,5,60091015,8584430.714,22698609.97,60060037,5,60075274,20025091.33,34684465.22,60075262,5,1,0,0,0,256,128,0.133131384,0.066565692,0,2,1.384615385,0.960768923,0.923076923,0,0,0,8,12,0,0,0,0,1.5,1,2,0,0,0,0,4,524,0,0,0,0,229,114,3,32,0,0,0,0,1.55E+15,31660894.04,1.55E+15,1.55E+15,Anomaly,Mirai
192.168.1.197-185.244.25.108-38030-4441-6,192.168.1.197,38030,185.244.25.108,4441,6,8/03/2019 8:58,832,8,4,8,8,2,0,1,1.069044968,2,2,2,0,0.266263579,0.199697684,5462802.909,18107883.18,60060122,5,60090832,8584404.571,22698658.96,60060122,5,60075108,20025036,34684370.25,60075097,5,1,0,0,0,256,128,0.13313179,0.066565895,0,2,1.384615385,0.960768923,0.923076923,0,0,0,8,12,0,0,0,0,1.5,1,2,0,0,0,0,4,534,0,0,0,0,229,114,3,32,0,0,0,0,1.55E+15,31660857.67,1.55E+15,1.55E+15,Anomaly,Mirai
192.168.1.197-185.244.25.108-38030-4441-6,192.168.1.197,38030,185.244.25.108,4441,6,8/03/2019 9:00,418,8,4,8,8,2,0,1,1.069044968,2,2,2,0,0.266292003,0.199719002,5462219.818,18106187.72,60054427,5,60084418,8583488.286,22696551.7,60054427,5,60069428,20023142.67,34681089.17,60069415,6,1,0,0,0,256,128,0.133146001,0.066573001,0,2,1.384615385,0.960768923,0.923076923,0,0,0,8,12,0,0,0,0,1.5,1,2,0,0,0,0,4,542,0,0,0,0,229,114,3,32,0,0,0,0,1.55E+15,31657784.09,1.55E+15,1.55E+15,Anomaly,Mirai
192.168.1.197-185.244.25.108-38030-4441-6,192.168.1.197,38030,185.244.25.108,4441,6,8/03/2019 9:02,464,8,4,8,8,2,0,1,1.069044968,2,2,2,0,0.26626521,0.199698907,5462769.455,18107929.75,60060229,6,60090464,8584352,22698729.29,60060229,6,60075476,20025158.67,34684581.85,60075464,6,1,0,0,0,256,128,0.133132605,0.066566302,0,2,1.384615385,0.960768923,0.923076923,0,0,0,8,12,0,0,0,0,1.5,1,2,0,0,0,0,4,538,0,0,0,0,229,114,3,32,0,0,0,0,1.55E+15,31660919.71,1.55E+15,1.55E+15,Anomaly,Mirai
192.168.1.197-185.244.25.108-38030-4441-6,192.168.1.197,38030,185.244.25.108,4441,6,8/03/2019 9:04,622,10,4,12,8,2,0,1.2,1.032795559,2,2,2,0,0.331589053,0.232112337,4639663.231,16651490.16,60058786,2,60315622,6701735.778,20009030.23,60058786,2,60074023,20024674.33,34683742.96,60074011,6,1,0,0,0,320,128,0.165794527,0.066317811,0,2,1.466666667,0.915475416,0.838095238,0,0,0,10,14,0,0,0,0,1.571428571,1.2,2,0,0,0,0,5,78,0,0,0,0,229,114,5,32,0,0,0,0,1.55E+15,30950706.38,1.55E+15,1.55E+15,Anomaly,Mirai
192.168.1.197-185.244.25.108-38030-4441-6,192.168.1.197,38030,185.244.25.108,4441,6,8/03/2019 9:06,278,8,4,8,8,2,0,1,1.069044968,2,2,2,0,0.266266034,0.199699525,5462752.545,18107964.52,60060317,5,60090278,8584325.429,22698779.79,60060317,5,60075303,20025101,34684483.7,60075293,5,1,0,0,0,256,128,0.133133017,0.066566508,0,2,1.384615385,0.960768923,0.923076923,0,0,0,8,12,0,0,0,0,1.5,1,2,0,0,0,0,4,543,0,0,0,0,229,114,3,32,0,0,0,0,1.55E+15,31660881.48,1.55E+15,1.55E+15,Anomaly,Mirai
